rank,beer_name,brewery,style,alcohol_pct,n_ratings,avg_rating,general_style,substyle
183,Congress Street IPA,Trillium Brewing Company,IPA - New England,7.2,2436,4.5,IPA,New England
184,Reaction State,Bottle Logic Brewing,Stout - American Imperial,11.8,189,4.53,Stout,American Imperial
185,DFPF,J. Wakefield Brewing,Sour - Berliner Weisse,3.5,488,4.51,Sour,Berliner Weisse
186,Susan,Hill Farmstead Brewery,IPA - American,6.2,2089,4.5,IPA,American
187,Speedway Stout - Vietnamese Coffee,AleSmith Brewing Company,Stout - American Imperial,12.0,2001,4.5,Stout,American Imperial
188,Midnight Still,Holy Mountain Brewing Company,Stout - American Imperial,12.5,181,4.53,Stout,American Imperial
189,Hunahpu's Imperial Stout - Bourbon Barrel-Aged,Cigar City Brewing,Stout - American Imperial,14.6,430,4.51,Stout,American Imperial
190,Double Dry Hopped Melcher Street,Trillium Brewing Company,IPA - New England,7.2,1390,4.5,IPA,New England
191,"Somewhere, Something Incredible Is Waiting To Be Known",Tree House Brewing Company,Stout - Sweet / Milk,7.9,422,4.51,Stout,Sweet / Milk
192,Fort Point Pale Ale - Mosaic Dry Hopped,Trillium Brewing Company,Pale Ale - American,6.6,1293,4.5,Pale Ale,American
193,Heavy Mettle,Trillium Brewing Company,IPA - New England,9.3,1227,4.5,IPA,New England
194,La Fosse,Side Project Brewing,Wild Ale,8.0,405,4.51,Wild Ale,
195,Oude Geuze Golden Blend,Brouwerij 3 Fonteinen,Lambic - Gueuze,7.5,1188,4.5,Lambic,Gueuze
196,Hommage,Brouwerij 3 Fonteinen,Lambic - Fruit,6.0,1144,4.5,Lambic,Fruit
197,Barrel-Aged Malevolence Chocolate Caliente,Spiteful Brewing,Stout - American Imperial,10.5,108,4.55,Stout,American Imperial
198,Coconut B-Bomb,Fremont Brewing Company,Strong Ale - American,13.0,355,4.51,Strong Ale,American
199,KBS - Maple Mackinac Fudge,Founders Brewing Company,Stout - American Imperial,11.0,836,4.5,Stout,American Imperial
200,Modem Tones - Bourbon Barrel-Aged - Vanilla,Modern Times Beer,Stout - American Imperial,14.4,129,4.54,Stout,American Imperial
201,Double Barrel Jesus,Evil Twin Brewing,Stout - American Imperial,12.0,823,4.5,Stout,American Imperial
202,Clare's Thirsty Ale,Haymarket Beer Co. Pub & Brewery,Stout - American Imperial,12.5,335,4.51,Stout,American Imperial
203,Oude Geuze Cuvée Armand & Gaston,Brouwerij 3 Fonteinen,Lambic - Gueuze,6.5,736,4.5,Lambic,Gueuze
